Tamanho da Mensagem (bytes),Tempo (ms)
8,0.000372
12,0.000260
18,0.000253
27,0.000253
40,0.000254
60,0.000266
90,0.000260
135,0.001127
202,0.000448
303,0.000472
454,0.000557
681,0.000595
1021,0.000734
1531,0.000857
2296,0.001035
3444,0.001446
5166,0.001593
7749,0.001591
11623,0.002362
17434,0.003176
26151,0.004201
39226,0.005776
58839,0.008290
88258,0.011995
132387,0.017498
198580,0.028498
297870,0.023979
446805,0.064893
670207,0.090086
1005310,0.129474
1507965,0.185417
2261947,0.271286
3392920,0.374887
